Course Code,Course Name,Instructor,Credits,Slot,Classroom,Location,Slot Schedule,Label,School,For the Students,Additional Info
ME206,MECHANICS OF SOLIDS,DR. RAJESH GHOSH,3,E,A11-1B,North Campus,"Monday 12:00–12:50pm, Wednesday 11:00–11:50am, Friday 9:00–9:50am",2,SMME,"B. Tech (MSE) DC Courses, MSE/ME","B. Tech (MSE) DC Courses, MSE/ME"
ME210,FLUID MECHANICS,DR. PYDI ANIL KISHAN,3,B,A13-2D,North Campus,"Monday 9:00–9:50am, Tuesday 12:00–12:50pm, Thursday 10:00–10:50am, Wednesday 5:00–5:50pm",2,SMME,"B. Tech (ME) and (GE) DC Courses, ME/GE","B. Tech (ME) and (GE) DC Courses, ME/GE"
ME212,PRODUCT MANUFACTURING TECHNOLOGY,DR. SANASAM SUNDERLAL SINGH,3,C,A11-1A,North Campus,"Monday 10:00–10:50am, Tuesday 5:00–5:50pm, Wednesday 8:00–8:50am, Thursday 11:00–11:50am",2,SMME,"B. Tech (ME) and (GE) DC Courses, ME/GE","B. Tech (ME) and (GE) DC Courses, ME/GE"
ME213,ENGINEERING THERMODYNAMICS,DR. ATUL DHAR,4,F,A13-2B,North Campus,"Monday 5:00–5:50pm, Tuesday 8:00–8:50am, Wednesday 10:00–10:50am, Friday 11:00–11:50am",2,SMME,"B. Tech (ME) and (GE) DC Courses, ME/GE","B. Tech (ME) and (GE) DC Courses, ME/GE"
ME303P,HEAT TRANSFER LAB,DR. GAJENDRA SINGH,1,,,,Unknown Slot,,,B. Tech (ME) DC Courses,B. Tech (ME) DC Courses
ME305,DESIGN OF MACHINE ELEMENTS,DR. HIMANSHU PATHAK,4,A,A10-1B,North Campus,"Monday 8:00–8:50am, Tuesday 11:00–11:50am, Thursday 9:00–9:50am, Friday 12:00–12:50pm",3,SMME,"B. Tech (ME) DC Courses, ME","B. Tech (ME) DC Courses, ME"
ME309,THEORY OF MACHINES,DR. RAJEEV KUMAR,4,F,A10-1B,North Campus,"Monday 5:00–5:50pm, Tuesday 8:00–8:50am, Wednesday 10:00–10:50am, Friday 11:00–11:50am",3,SMME,B. Tech (ME) and (GE) DC Courses,B. Tech (ME) and (GE) DC Courses
ME310,SYSTEM DYNAMICS AND CONTROL,DR. RAJ KIRAN,3,H,A10-1B,North Campus,"Tuesday 10:00–10:50am, Wednesday 12:00–12:50pm, Friday 9:00–9:50am",3,SMME,"B. Tech (ME) DC Courses, ME","B. Tech (ME) DC Courses, ME"
ME311P,DESIGN LAB 1,DR. VISHAL SINGH CHAUHAN,1,,,,Unknown Slot,,,"B. Tech (ME) DC Courses, ME","B. Tech (ME) DC Courses, ME"
ME315,MANUFACTURING ENGINEERING 2,DR. DEEPAK DEELIP PATIL,3,B,A10-1B,North Campus,"Monday 9:00–9:50am, Tuesday 12:00–12:50pm, Thursday 10:00–10:50am, Wednesday 5:00–5:50pm",3,SMME,"B. Tech (ME) DC Courses, ME","B. Tech (ME) DC Courses, ME"
ME396,SEMESTER INTERNSHIP,DR. PRADEEP KUMAR,6,,,,Unknown Slot,,,Btech ME students,
ME399,SEMESTER INTERNSHIP,DR. PRADEEP KUMAR,9,,,,Unknown Slot,,,Btech ME students,
ME451,REFRIGERATION AND AIR CONDITIONING,DR. PARMOD KUMAR,3,C,A13-3A,North Campus,"Monday 10:00–10:50am, Tuesday 5:00–5:50pm, Wednesday 8:00–8:50am, Thursday 11:00–11:50am",4,SMME,DE for SMME 3rd and 4th Btech Students,
ME498P,MAJOR TECHNICAL PROJECT - 1,DR. PRADEEP KUMAR,3,,,,Unknown Slot,,,"4th Year, B.Tech ME",
ME509,NANOMANUFACTURING,DR. NEHA SHUKLA,3,E,SC-NKN,South Campus,"Monday 12:00–12:50pm, Wednesday 11:00–11:50am, Friday 9:00–9:50am",5,SMME,DE for SMME Students and Free  Elective for others,DE for SMME Students and Free  Elective for others
ME511,MANUFACTURING OF COMPOSITES,DR. SUNNY ZAFAR,3,F,A1-3,South Campus,"Monday 5:00–5:50pm, Tuesday 8:00–8:50am, Wednesday 10:00–10:50am, Friday 11:00–11:50am",5,SMME,DE for SMME Students and Free  Elective for others,DE for SMME Students and Free  Elective for others
ME515,CARBON MATERIALS AND TECHNOLOGY,DR. SWATI SHARMA,3,H,A5-3,South Campus,"Tuesday 10:00–10:50am, Wednesday 12:00–12:50pm, Friday 9:00–9:50am",5,SMME,DE for SMME Students and Free  Elective for others,DE for SMME Students and Free  Elective for others
ME517,ADVANCED ANALYTICAL TECHNIQUES FOR ENGINEERS,DR. SHASHWAT BHATTACHARYA,4,C,SC-NKN,South Campus,"Monday 10:00–10:50am, Tuesday 5:00–5:50pm, Wednesday 8:00–8:50am, Thursday 11:00–11:50am",5,SMME,DE for SMME Students and Free  Elective for others,DE for SMME Students and Free  Elective for others
ME523,PRODUCT DESIGN,DR. PRATEEK SAXENA,3,,,,Unknown Slot,,,DE for SMME Students and Free  Elective for others,DE for SMME Students and Free  Elective for others
ME526,PROGRAMMING PARADIGM FOR OPEN-SOURCE CODES,DR. SHASHWAT BHATTACHARYA,1,A,CL-4,South Campus,"Monday 8:00–8:50am, Tuesday 11:00–11:50am, Thursday 9:00–9:50am, Friday 12:00–12:50pm",5,SMME,DE for SMME Students and Free  Elective for others,DE for SMME Students and Free  Elective for others
ME530,CONTINUUM MECHANICS,DR. GAURAV BHUTANI,3,,,,Unknown Slot,,,DE for SMME Students and Free  Elective for others,DE for SMME Students and Free  Elective for others
ME601,ADVANCED FINITE ELEMENT METHODS,DR. VISHAL SINGH CHAUHAN,3,B,CL-4,South Campus,"Monday 9:00–9:50am, Tuesday 12:00–12:50pm, Thursday 10:00–10:50am, Wednesday 5:00–5:50pm",6,SMME,DE for SMME Students and Free  Elective for others,DE for SMME Students and Free  Elective for others
ME603,ADVANCED FLUID DYNAMICS,DR. PRADEEP KUMAR,3,,,,Unknown Slot,,,DE for SMME Students and Free  Elective for others,DE for SMME Students and Free  Elective for others
ME615,APPLIED COMPUTATIONAL FLUID DYNAMICS,DR. GAURAV BHUTANI,3,G,SC-NKN,South Campus,"Tuesday 9:00–9:50am, Thursday 8:00–8:50am, Friday 10:00–10:50am",6,SMME,DE for SMME Students and Free  Elective for others,DE for SMME Students and Free  Elective for others
