Course Code,Course Name,Instructor,Credits,Slot,Classroom,Location,Slot Schedule,Label,School,For the Students,Additional Info
AR511,AUTONOMOUS MOBILE ROBOTS,DR. RADHE SHYAM SHARMA,3,G,A13-2D,North Campus,"Tuesday 9:00–9:50am, Thursday 8:00–8:50am, Friday 10:00–10:50am",5,CAIR,,
AR520,DESIGN PRACTICUM OF MECHATRONIC SYSTEMS,DR. JAGADEESH KADIYAM,3,E,A10-1B,North Campus,"Monday 12:00–12:50pm, Wednesday 11:00–11:50am, Friday 9:00–9:50am",5,CAIR,,
AR521,CONTROL OF ROBOTIC SYSTEMS,PROF. DIPANKAR DEB,3,D,A17-1D,North Campus,"Monday 11:00–11:50am, Wednesday 9:00–9:50am, Thursday 12:00–12:50pm",5,CAIR,,
AR522,ROBOT VISION,DR. PRAFUL TEJERAO HAMBARDE,3,H,A13-2D,North Campus,"Tuesday 10:00–10:50am, Wednesday 12:00–12:50pm, Friday 9:00–9:50am",5,CAIR,,
AR523,ROBOT MANIPULATORS,DR. AMIT SHUKLA,3,,,,Unknown Slot,,,,
BE201,CELL BIOLOGY,DR. PRASAD KASTURI,4,G,A10-2B,North Campus,"Tuesday 9:00–9:50am, Thursday 8:00–8:50am, Friday 10:00–10:50am",2,SBB,B. Tech 2nd year,B. Tech (Bio) DC Courses
BE202,BIOCHEMISTRY AND MOLECULAR BIOLOGY,DR. BHASKAR MONDAL,4,B,A10-2B,North Campus,"Monday 9:00–9:50am, Tuesday 12:00–12:50pm, Thursday 10:00–10:50am, Wednesday 5:00–5:50pm",2,SBB,B. Tech 2nd year,"B. Tech (Bio) DC Courses, IC136 or equivalent"
BE303,APPLIED BIOSTATISTICS,DR. KHARERIN HUNGYO,4,A,A10-2B,North Campus,"Monday 8:00–8:50am, Tuesday 11:00–11:50am, Thursday 9:00–9:50am, Friday 12:00–12:50pm",3,SBB,B. Tech 3rd year,B. Tech 1st/2nd/3rd year only
BE305,BIOETHICS & REGULATORY AFFAIRS,DR. TRAYAMBAK BASAK,1,,,,Unknown Slot,,,B. Tech 3rd year,B. Tech (Bio) DC Courses
BE306,GENETIC ENGINEERING: PRINCIPLES AND APPLICATIONS,DR. PRASAD KASTURI,4,D,A10-2B,North Campus,"Monday 11:00–11:50am, Wednesday 9:00–9:50am, Thursday 12:00–12:50pm",3,SBB,B. Tech 3rd year,"B. Tech (Bio) DC Courses, IC136 or equivalent"
BE308,INTRODUCTION TO BIOMANUFACTURING,DR. EKTA MAKHIJA,4,F,A10-2B,North Campus,"Monday 5:00–5:50pm, Tuesday 8:00–8:50am, Wednesday 10:00–10:50am, Friday 11:00–11:50am",3,SBB,B. Tech 2nd year,B. Tech (Bio) DC Courses
BE309,BIOSENSING & BIOINSTRUMENTATION,DR. EKTA  MAKHIJA,4,C,A10-2B,North Campus,"Monday 10:00–10:50am, Tuesday 5:00–5:50pm, Wednesday 8:00–8:50am, Thursday 11:00–11:50am",3,SBB,B. Tech 2nd year,B. Tech (Bio) DC Courses
BE310,BIOMATERIALS,DR. SUMIT MURAB,4,E,A10-2B,North Campus,"Monday 12:00–12:50pm, Wednesday 11:00–11:50am, Friday 9:00–9:50am",3,SBB,B. Tech 3rd year,B. Tech (Bio) DC Courses
BE396,SEMESTER INTERNSHIP,DR. PRASAD KASTURI,6,,,,Unknown Slot,,,B.Tech Bio Engg 4th Year,
BE399,SEMESTER INTERNSHIP,DR. PRASAD KASTURI,9,,,,Unknown Slot,,,B.Tech Bio Engg 4th Year,
BE498P,MAJOR TECHNICAL PROJECT - 1,DR. PRASAD KASTURI,3,,,,Unknown Slot,,,"B. Tech 4th year, Bio/IDD",B. Tech (Bio) DC Courses
BE501,ANATOMY AND PHYSIOLOGY,DR. TRAYAMBAK BASAK,3,C,A17-1D,North Campus,"Monday 10:00–10:50am, Tuesday 5:00–5:50pm, Wednesday 8:00–8:50am, Thursday 11:00–11:50am",5,SBB,B. Tech 3rd year,
BE609P,MTECH PROJECT - 1,DR. TULIKA PRAKASH SRIVASTAVA,17,,,,Unknown Slot,,,M. Tech (IDD),B. Tech (Bio) DC Courses
BY505,NANO-BIOTECHNOLOGY,DR. AMIT JAISWAL,3,D,A5-3,South Campus,"Monday 11:00–11:50am, Wednesday 9:00–9:50am, Thursday 12:00–12:50pm",5,SBB,M. Tech 1st year,M. Tech (Bio) DC Courses
BY512,QUANTITATIVE AND COMPUTATIONAL BIOLOGY,DR. TULIKA PRAKASH SRIVASTAVA,4,B,A5-3,South Campus,"Monday 9:00–9:50am, Tuesday 12:00–12:50pm, Thursday 10:00–10:50am, Wednesday 5:00–5:50pm",5,SBB,M. Tech 1st year,M. Tech (Bio) DC Courses
BY513,CELLULAR BIOPROCESS TECHNOLOGY,DR. LOKESHKUMAR PISARAM RAMTEKE,3,C,A5-3,South Campus,"Monday 10:00–10:50am, Tuesday 5:00–5:50pm, Wednesday 8:00–8:50am, Thursday 11:00–11:50am",5,SBB,M. Tech 1st year,M. Tech (Bio) DC Courses
BY525,SEMINAR,DR. KHARERIN HUNGYO,1,,,,Unknown Slot,,,M. Tech 2nd year,M. Tech (Bio) DC Courses
BY530,ADVANCED CELL AND MOLECULAR BIOLOGY,DR. AMIT PRASAD,3,A,A5-3,South Campus,"Monday 8:00–8:50am, Tuesday 11:00–11:50am, Thursday 9:00–9:50am, Friday 12:00–12:50pm",5,SBB,M. Tech 1st year,M. Tech (Bio) DC Courses
BY533P,ADVANCED CELL AND MOLECULAR BIOLOGY,DR. AMIT PRASAD,1,,,,Unknown Slot,,,M. Tech 1st year,M. Tech (Bio) DC Courses
BY534,FUNCTIONAL NEUROIMAGING AND DATA ANALYSIS,DR. SANJEEV NARA,3,F,A5-3,South Campus,"Monday 5:00–5:50pm, Tuesday 8:00–8:50am, Wednesday 10:00–10:50am, Friday 11:00–11:50am",5,SBB,B.Tech Final Yr / M.Tech 1st Yr,
BY534P,CELLULAR BIOPROCESS TECHNOLOGY,DR. LOKESHKUMAR PISARAM RAMTEKE,1,,,,Unknown Slot,,,M. Tech 1st year,M. Tech (Bio) DC Courses
BY600,RESEARCH METHODOLOGY,DR. PRASAD KASTURI,1,,,,Unknown Slot,,,M. Tech 1st year,M. Tech (Bio) DC Courses
BY613,METAGENOMICS AND NEXT GENERATION SEQUENCING APPLICATIONS,DR. TULIKA PRAKASH SRIVASTAVA,3,,,,Unknown Slot,,,BTech 3 and 4 yrs and MTech,
BY698P,POST GRADUATE PROJECT-1,DR. KHARERIN HUNGYO,16,,,,Unknown Slot,,,M. Tech 2nd year,M. Tech (Bio) DC Courses
CE203,CIVIL ENGINEERING MATERIALS,DR. THAINSWEMONG CHOUDHURY,3,F,A13-2A,North Campus,"Monday 5:00–5:50pm, Tuesday 8:00–8:50am, Wednesday 10:00–10:50am, Friday 11:00–11:50am",2,SCENE,BTech – 2nd,B. Tech (CE) DC Courses
CE203P,BUILDING MATERIALS LAB,DR. THAINSWEMONG CHOUDHURY,1,,,,Unknown Slot,,,BTech – 2nd,B. Tech (CE) DC Courses
CE252,GEOLOGY AND GEOMORPHOLOGY,DR. DERICKS PRAISE SHUKLA,3,B,A13-2A,North Campus,"Monday 9:00–9:50am, Tuesday 12:00–12:50pm, Thursday 10:00–10:50am, Wednesday 5:00–5:50pm",2,SCENE,BTech – 2nd,B. Tech (CE) DC Courses
CE303,WATER RESOURCES ENGINEERING,DR. ALIVA NANDA,3,C,A10-1B,North Campus,"Monday 10:00–10:50am, Tuesday 5:00–5:50pm, Wednesday 8:00–8:50am, Thursday 11:00–11:50am",3,SCENE,BTech – 3rd,B. Tech (CE) DC Courses
CE310,STRENGTH OF MATERIALS AND STRUCTURES,DR. MAHESHREDDY GADE,3,C,A13-2A,North Campus,"Monday 10:00–10:50am, Tuesday 5:00–5:50pm, Wednesday 8:00–8:50am, Thursday 11:00–11:50am",3,SCENE,BTech – 2nd,B. Tech (CE) DC Courses
CE310P,STRENGTH OF MATERIALS AND STRUCTURES LAB,DR. MAHESHREDDY GADE,1,,,,Unknown Slot,,,BTech – 2nd,B. Tech (CE) DC Courses
CE351,DESIGN OF REINFORCED CONCRETE STRUCTURES,DR. SUBHAMOY SEN,3,B,A17-1D,North Campus,"Monday 9:00–9:50am, Tuesday 12:00–12:50pm, Thursday 10:00–10:50am, Wednesday 5:00–5:50pm",3,SCENE,BTech – 3rd,B. Tech (CE) DC Courses
CE352,TRANSPORTATION ENGINEERING,DR. RAJNEESH SHARMA,3,D,A17-1C,North Campus,"Monday 11:00–11:50am, Wednesday 9:00–9:50am, Thursday 12:00–12:50pm",3,SCENE,BTech – 3rd,B. Tech (CE) DC Courses
CE352P,TRANSPORTATION ENGINEERING LAB,DR. KALA VENKATA UDAY,1,,,,Unknown Slot,,,BTech – 3rd,B. Tech (CE) DC Courses
CE353P,CIVIL ENGINEERING DRAWING,DR. SHIVANG SHEKHAR,1,,,,Unknown Slot,,,BTech – 3rd,B. Tech (CE) DC Courses
CE396,SEMESTER INTERNSHIP,DR. HARSHAD VIJAY KULKARNI,6,,,,Unknown Slot,,,B.Tech Civil 4th Year,
CE399,SEMESTER INTERNSHIP,DR. HARSHAD VIJAY KULKARNI,9,,,,Unknown Slot,,,B.Tech Civil 4th Year,
CE402,GEOTECHNICAL ENGINEERING II,DR. ASHUTOSH KUMAR,3,E,A13-2A,North Campus,"Monday 12:00–12:50pm, Wednesday 11:00–11:50am, Friday 9:00–9:50am",4,SCENE,BTech – 3rd,B. Tech (CE) DC Courses
CE451,IRRIGATION ENGINEERING & HYDRAULIC STRUCTURES,DR. RANJEET KUMAR JHA,3,H,A5-2,South Campus,"Tuesday 10:00–10:50am, Wednesday 12:00–12:50pm, Friday 9:00–9:50am",4,SCENE,BTech – 4th,
CE498P,MAJOR TECHNICAL PROJECT - 1,DR. HARSHAD VIJAY KULKARNI,3,,,,Unknown Slot,,,"4th Year, B.Tech CE",
CE501,REMOTE SENSING,DR. DERICKS PRAISE SHUKLA,3,E,A10-3A,North Campus,"Monday 12:00–12:50pm, Wednesday 11:00–11:50am, Friday 9:00–9:50am",5,SCENE,"MTech(R)/Ph.D. 1st Environment, Remote Sensing",
CE505,ENGINEERING OF GROUND MODIFICATION,DR. KALA VENKATA UDAY,3,H,A10-3A,North Campus,"Tuesday 10:00–10:50am, Wednesday 12:00–12:50pm, Friday 9:00–9:50am",5,SCENE,MTech(R)/Ph.D. 1st Geotech,
CE511,STRUCTURAL DYNAMICS WITH APPLICATION TO EARTHQUAKE ENGINEERING,DR. SHASHANK PATHAK,3,A,A10-3A,North Campus,"Monday 8:00–8:50am, Tuesday 11:00–11:50am, Thursday 9:00–9:50am, Friday 12:00–12:50pm",5,SCENE,MTech/MTech (R)/Ph.D. 1st Structural,"M. Tech (STE) DC Courses, Open for MTech (R) and PhD students, BTech 4th year can enroll as Discipline Elective"
CE512,ADVANCED SOIL MECHANICS,DR. MOUSUMI MUKHERJEE,3,G,A10-3A,North Campus,"Tuesday 9:00–9:50am, Thursday 8:00–8:50am, Friday 10:00–10:50am",5,SCENE,MTech(R)/Ph.D. 1st Geotech,
CE520,ENVIRONMENTAL REACTION MODELING,DR. HARSHAD VIJAY KULKARNI,3,G,CL-3,South Campus,"Tuesday 9:00–9:50am, Thursday 8:00–8:50am, Friday 10:00–10:50am",5,SCENE,"MTech(R)/Ph.D. 1st Environment, Remote Sensing",
CE521,ECOLOGY AND ENVIRONMENT MICROBIOLOGY,DR. RAJNEESH SHARMA,4,A,A5-2,South Campus,"Monday 8:00–8:50am, Tuesday 11:00–11:50am, Thursday 9:00–9:50am, Friday 12:00–12:50pm",5,SCENE,"MTech(R)/Ph.D. 1st Environment, Remote Sensing",
CE524,APPLIED HYDROCLIMATOLOGY,DR. VIVEK GUPTA,3,C,A10-3A,North Campus,"Monday 10:00–10:50am, Tuesday 5:00–5:50pm, Wednesday 8:00–8:50am, Thursday 11:00–11:50am",5,SCENE,MTech(R)/Ph.D. 1st Water,
CE524P,COMPUTATIONAL HYDROCLIMATOLOGY LAB,DR. VIVEK GUPTA,1,,,,Unknown Slot,,,"BTech Civil 4th Year, 7th Sem, MTech (R), PhD",
CE555,ADVANCED DESIGN OF STRUCTURES,DR. KAUSTAV SARKAR,3,B,A10-3A,North Campus,"Monday 9:00–9:50am, Tuesday 12:00–12:50pm, Thursday 10:00–10:50am, Wednesday 5:00–5:50pm",5,SCENE,MTech/MTech (R)/Ph.D. 1st Structural,"M. Tech (STE) DC Courses, Open for MTech (R) and PhD students, BTech 4th year can enroll as Discipline Elective"
CE556P,STRUCTURAL ENGINEERING LABORATORY,DR. SUBHAMOY SEN,2,,,,Unknown Slot,,,MTech/MTech (R)/Ph.D. 1st Structural,M. Tech (STE) DC Courses
CE557,SOLID MECHANICS IN STRUCTURAL ENGINEERING,DR. SHIVANG SHEKHAR,3,D,A13-2A,North Campus,"Monday 11:00–11:50am, Wednesday 9:00–9:50am, Thursday 12:00–12:50pm",5,SCENE,MTech/MTech (R)/Ph.D. 1st Structural,"M. Tech (STE) DC Courses, Open for MTech (R) and PhD students, BTech 4th year can enroll as Discipline Elective"
CE558,AIR POLLUTION AND ITS MITIGATION,DR. SAYANTAN SARKAR,3,B,SC-NKN,South Campus,"Monday 9:00–9:50am, Tuesday 12:00–12:50pm, Thursday 10:00–10:50am, Wednesday 5:00–5:50pm",5,SCENE,"MTech(R)/Ph.D. 1st Environment, Remote Sensing",
CE562,NUMERICAL METHODS FOR ENGINEERING COMPUTATION,DR. DHANYA J,3,F,A10-3A,North Campus,"Monday 5:00–5:50pm, Tuesday 8:00–8:50am, Wednesday 10:00–10:50am, Friday 11:00–11:50am",5,SCENE,MTech/MTech (R)/Ph.D. 1st Structural,"M. Tech (STE) DC Courses, Open for MTech (R) and PhD students, BTech 4th year can enroll as Discipline Elective"
CE587P,INDUSTRIAL/RESEARCH INTERNSHIP,DR. SUBHAMOY SEN,1,,,,Unknown Slot,,,,
CE600,RESEARCH METHODOLOGY,DR. KAUSTAV SARKAR,1,,,,Unknown Slot,,,MTech(R)/Ph.D. 1st Geotech,"CE 600 Mandatory course for all new PhD and M.Tech.(Research) students of SCEnE, Kept in Free slot"
CE617,MECHANICS OF COMPOSITE MATERIALS,DR. RAJNEESH SHARMA,3,,,,Unknown Slot,,,MTech/MTech (R)/Ph.D. 1st Structural,
CE690P,POST GRADUATE PROJECT 1,DR. SUBHAMOY SEN,14,,,,Unknown Slot,,,Mtech Structural Engineering,DC Core for Mtech STE
CS208,MATHEMATICAL FOUNDATIONS OF COMPUTER SCIENCE,DR. GAURAV SOOD,4,B,A18-2,North Campus,"Monday 9:00–9:50am, Tuesday 12:00–12:50pm, Thursday 10:00–10:50am, Wednesday 5:00–5:50pm",2,SCEE,B.Tech 2nd Year Sem-3,B. Tech (CSE) DC Courses
CS212,DESIGN OF ALGORITHMS,DR. PRATEEK VISHNOI,4,C,A18-2,North Campus,"Monday 10:00–10:50am, Tuesday 5:00–5:50pm, Wednesday 8:00–8:50am, Thursday 11:00–11:50am",2,SCEE,B.Tech 2nd Year Sem-3,B. Tech (CSE) DC Courses
CS213,REVERSE ENGINEERING,DR. JINESH C MACHCHHAR,1,,,,Unknown Slot,,,B.Tech 2nd Year Sem-3,
CS214,COMPUTER ORGANIZATION,DR. KUMAR SAMBHAV PANDEY,4,E,A17-1B,North Campus,"Monday 12:00–12:50pm, Wednesday 11:00–11:50am, Friday 9:00–9:50am",2,SCEE,B.Tech 2nd Year Sem-3,B. Tech (CSE) DC Courses
CS312,OPERATING SYSTEMS,DR. PADMANABHAN RAJAN,4,C,A17-1B,North Campus,"Monday 10:00–10:50am, Tuesday 5:00–5:50pm, Wednesday 8:00–8:50am, Thursday 11:00–11:50am",3,SCEE,B.Tech 3rd Year Sem-5,B. Tech (CSE) DC Courses
CS313,COMPUTER NETWORKS,DR. SREELAKSHMI P.M SREELAKSHMI P.M,4,F,A18-1,North Campus,"Monday 5:00–5:50pm, Tuesday 8:00–8:50am, Wednesday 10:00–10:50am, Friday 11:00–11:50am",3,SCEE,B.Tech 3rd Year Sem-5,B. Tech (CSE) DC Courses
CS362,ARTIFICIAL INTELLIGENCE,DR. VARUN DUTT,3,D,A18-1,North Campus,"Monday 11:00–11:50am, Wednesday 9:00–9:50am, Thursday 12:00–12:50pm",3,SCEE,B.Tech 3rd Year Sem-5,B. Tech (CSE) DC Courses
CS396,SEMESTER INTERNSHIP,DR. PADMANABHAN RAJAN,6,,,,Unknown Slot,,,B.Tech CSE 4th Year,
CS399,SEMESTER INTERNSHIP,DR. PADMANABHAN RAJAN,9,,,,Unknown Slot,,,B.Tech CSE 4th Year,
CS498P,MAJOR TECHNICAL PROJECT - 1,DR. PADMANABHAN RAJAN,3,,,,Unknown Slot,,,"4th Year, B.Tech CSE",
CS511,APPLIED PROBABILITY,DR. PRETI KUMARI,2,F,SC-NKN,South Campus,"Monday 5:00–5:50pm, Tuesday 8:00–8:50am, Wednesday 10:00–10:50am, Friday 11:00–11:50am",5,SCEE,"M.Tech 1st Year sem-1, All PG students",
CS512,MATRIX THEORY,DR. PRETI KUMARI,2,,,,Unknown Slot,,,,
CS514,ADVANCE ALGORITHMS,DR. VARUNKUMAR JAYAPAUL,4,C,CL-2,South Campus,"Monday 10:00–10:50am, Tuesday 5:00–5:50pm, Wednesday 8:00–8:50am, Thursday 11:00–11:50am",5,SCEE,"1st ,All PG Students",M. Tech (CSE) DC Courses
CS515,ADVANCE CS PRACTICUM,DR. AWANEESH KUMAR YADAV,3,,,,Unknown Slot,,,"1st ,All PG Students",M. Tech (CSE) DC Courses
CS521,INTRODUCTION TO POST QUANTUM SECURITY,DR. AWANEESH KUMAR YADAV,3,H,CL-2,South Campus,"Tuesday 10:00–10:50am, Wednesday 12:00–12:50pm, Friday 9:00–9:50am",5,SCEE,PG/Elective B.Tech 3rd/4th year,Elective
CS524,COMPUTATIONAL COMPLEXITY THEORY,DR. GAURAV SOOD,4,E,CL-1,South Campus,"Monday 12:00–12:50pm, Wednesday 11:00–11:50am, Friday 9:00–9:50am",5,SCEE,PG/Elective B.Tech 3rd/4th year,Elective
CS550,COMPUTER GRAPHICS AND GEOMETRIC DESIGN,DR. JINESH C MACHCHHAR,3,,,,Unknown Slot,,,PG/Elective B.Tech 3rd/4th year,Elective
CS621P,POST GRADUATE PROJECT-1,DR. GAURAV SOOD,12,,,,Unknown Slot,,,Mtech CSE 2nd Year,DC Core for Mtech Biotech
CS660,DATA MINING FOR DECISION MAKING,DR. VARUN DUTT,4,B,CL-2,South Campus,"Monday 9:00–9:50am, Tuesday 12:00–12:50pm, Thursday 10:00–10:50am, Wednesday 5:00–5:50pm",6,SCEE,PG/Elective B.Tech 3rd/4th year,Elective
CS669,PATTERN RECGONITION,DR. ARNAV VINAYAK BHAVSAR,4,A,SC-NKN,South Campus,"Monday 8:00–8:50am, Tuesday 11:00–11:50am, Thursday 9:00–9:50am, Friday 12:00–12:50pm",6,SCEE,PG/Elective B.Tech 3rd/4th year,Elective
CS672,ADVANCED DEEP LEARNING,DR. ADITYA NIGAM,4,G,CL-2,South Campus,"Tuesday 9:00–9:50am, Thursday 8:00–8:50am, Friday 10:00–10:50am",6,SCEE,,
CS685,NATURAL LANGUAGE PROCESSING,DR. ROHIT SALUJA,3,,,,Unknown Slot,,,PG/Elective B.Tech 3rd/4th year,Elective
CY001,PREPARATORY CHEMISTRY-1,DR. PRADEEP C PARAMESWARAN,4,,,,Unknown Slot,,,,
CY201P,PHYSICAL CHEMISTRY LABORATORY,DR. INDU BALA,2,,,,Unknown Slot,,,Second Year /Third Sem,BS-CS DC Cours
CY301,PRINCIPLES AND THEORIES OF PHYSICAL CHEMISTRY,DR. MOUPRIYA DAS,3,,,,Unknown Slot,,,Second Year /Third Sem,BS-CS DC Cours
CY302,PRINCIPLES OF ORGANIC CHEMISTRY,DR. SUBRATA GHOSH,3,H,A5-1,South Campus,"Tuesday 10:00–10:50am, Wednesday 12:00–12:50pm, Friday 9:00–9:50am",3,SCS,Second Year /Third Sem,BS-CS DC Cours
CY303,FUNDAMENTALS OF INORGANIC CHEMISTRY,DR. VENKATA KRISHNAN,3,B,A5-2,South Campus,"Monday 9:00–9:50am, Tuesday 12:00–12:50pm, Thursday 10:00–10:50am, Wednesday 5:00–5:50pm",3,SCS,Second Year /Third Sem,BS-CS DC Cours
CY402,APPLIED MATERIALS CHEMISTRY,DR. GARIMA AGRAWAL,3,F,A5-1,South Campus,"Monday 5:00–5:50pm, Tuesday 8:00–8:50am, Wednesday 10:00–10:50am, Friday 11:00–11:50am",4,SCS,,
CY404,FUNDAMENTALS OF SOFT MATTER SCIENCE AND APPLICATIONS,DR. INDU BALA,3,G,A5-1,South Campus,"Tuesday 9:00–9:50am, Thursday 8:00–8:50am, Friday 10:00–10:50am",4,SCS,,
CY506P,INORGANIC CHEMISTRY LAB,DR. PRADEEP C PARAMESWARAN,4,,,,Unknown Slot,,,Second Year /Third Sem,M. Sc (Chemistry)  DC Courses - 2024 Batch
CY508,ORGANOMETALLIC CHEMISTRY,DR. NARAYAN  SINHA,2,D,A5-1,South Campus,"Monday 11:00–11:50am, Wednesday 9:00–9:50am, Thursday 12:00–12:50pm",5,SCS,Second Year /Third Sem,M. Sc (Chemistry)  DC Courses - 2024 Batch
CY512,ADVANCED QUANTUM CHEMISTRY,DR. DEEPAK DEELIP PATIL,3,D,A5-2,South Campus,"Monday 11:00–11:50am, Wednesday 9:00–9:50am, Thursday 12:00–12:50pm",5,SCS,First year /First Semester,M. Sc (Chemistry)  DC Courses - 2025 Batch
CY512P,PHYSICAL CHEMISTRY LABORATORY,DR. BHASKAR MONDAL,D,,,,Unknown Slot,,,M. Sc (Chemistry)  DC Courses - 2025 Batch,
CY514,CHEMICAL THERMODYNAMICS & ELECTROCHEMISTRY,DR. ADITI HALDER,3,C,A1-NKN,South Campus,"Monday 10:00–10:50am, Tuesday 5:00–5:50pm, Wednesday 8:00–8:50am, Thursday 11:00–11:50am",5,SCS,Second Year /Third Sem,M. Sc (Chemistry)  DC Courses - 2025 Batch
CY522,COMPUTATIONAL CHEMISTRY,DR. BHASKAR MONDAL,3,E,CL-4,South Campus,"Monday 12:00–12:50pm, Wednesday 11:00–11:50am, Friday 9:00–9:50am",5,SCS,Second Year /Third Sem,M. Sc (Chemistry)  DC Courses - 2024 Batch
CY531,ORGANIC REACTION AND MECHANISM,DR. ABHISHEK DEWANJI,3,B,A5-1,South Campus,"Monday 9:00–9:50am, Tuesday 12:00–12:50pm, Thursday 10:00–10:50am, Wednesday 5:00–5:50pm",5,SCS,First year /First Semester,M. Sc (Chemistry)  DC Courses - 2025 Batch
CY533,CHEMISTRY OF MAIN GROUP ELEMENTS,DR. ABHIMANEW DHIR,3,C,CL-4,South Campus,"Monday 10:00–10:50am, Tuesday 5:00–5:50pm, Wednesday 8:00–8:50am, Thursday 11:00–11:50am",5,SCS,First year /First Semester,M. Sc (Chemistry)  DC Courses - 2025 Batch
CY533P,INORGANIC CHEMISTRY LABORATORY,DR. NARAYAN  SINHA,3,,,,Unknown Slot,,,First year /First Semester,M. Sc (Chemistry)  DC Courses - 2025 Batch
CY561P,RESEARCH LITERATURE PRESENTATION - I (P/F),DR. AMIT BALKRISHNA PAWAR,1,,,,Unknown Slot,,,First year /First Semester,M. Sc (Chemistry)  DC Courses - 2025 Batch
CY598P,POST GRADUATE PROJECT-I,DR. GARIMA AGRAWAL,4,,,,Unknown Slot,,,Second Year /Third Sem,M. Sc (Chemistry)  DC Courses - 2024 Batch
CY600,RESEARCH METHODOLOGY,DR. ABHISHEK DEWANJI,1,,,,Unknown Slot,,,,
CY645,REAGENTS IN ORGANIC SYNTHESIS,DR. AMIT BALKRISHNA PAWAR,F,F,CL-1,South Campus,"Monday 5:00–5:50pm, Tuesday 8:00–8:50am, Wednesday 10:00–10:50am, Friday 11:00–11:50am",6,SCS,,
CY670,FLUORESCENCE SPECTROSCOPY MICROSCOPY AND APPLICATIONS,DR. CHAYAN KANTI NANDI,E,,,,Unknown Slot,,,,
DP503P,BASIC MECHANICAL AND ELECTRICAL WORKSHOP,DR. PRADEEP C PARAMESWARAN,H,,,,Unknown Slot,,,,
DS201,DATA HANDLING AND VISUALISATION,DR. ROHIT SALUJA,3,F,A18-2,North Campus,"Monday 5:00–5:50pm, Tuesday 8:00–8:50am, Wednesday 10:00–10:50am, Friday 11:00–11:50am",2,SCEE,"B.Tech. DSE 2nd Year, Sem-3",B. Tech (DSE) DC Courses
DS301,MATHEMATICAL FOUNDATIONS OF DATA SCIENCE,DR. SAMIR SHUKLA,4,B,A13-2B,North Campus,"Monday 9:00–9:50am, Tuesday 12:00–12:50pm, Thursday 10:00–10:50am, Wednesday 5:00–5:50pm",3,SMSS,"B.Tech. DSE 2nd Year, Sem-3",B. Tech (DSE) DC Courses
DS396,SEMESTER INTERNSHIP,DR. SAMPAT KUMAR SHARMA,6,,,,Unknown Slot,,,B.Tech DSE 4th Year,
DS399,SEMESTER INTERNSHIP,DR. SAMPAT KUMAR SHARMA,9,,,,Unknown Slot,,,B.Tech DSE 4th Year,
DS413,INTRODUCTION TO STATISTICAL LEARNING,DR. KANCHARLA PARIMALA,4,A,A17-1B,North Campus,"Monday 8:00–8:50am, Tuesday 11:00–11:50am, Thursday 9:00–9:50am, Friday 12:00–12:50pm",4,SCEE,B.Tech. DSE 3rd/4th Year Sem-5/7,B. Tech (DSE) DC Courses
DS498P,MAJOR TECHNICAL PROJECT - 1,DR. SAMPAT KUMAR SHARMA,3,,,,Unknown Slot,,,"4th Year, B.Tech DSE",
EE203,NETWORK THEORY,DR. KAUSHIK HALDER,3,B,A17-1A,North Campus,"Monday 9:00–9:50am, Tuesday 12:00–12:50pm, Thursday 10:00–10:50am, Wednesday 5:00–5:50pm",2,SCEE,"Elective for B.Tech. EE 2th Year, Sem-3",B. Tech (EE) DC Courses
EE210,DIGITAL SYSTEMS DESIGN,DR. SRINIVASU BODAPATI,3,G,A17-1A,North Campus,"Tuesday 9:00–9:50am, Thursday 8:00–8:50am, Friday 10:00–10:50am",2,SCEE,"Elective for B.Tech. EE 2th Year, Sem-3",B. Tech (EE) DC Courses
EE210P,DIGITAL SYSTEMS DESIGN LAB,DR. SRINIVASU BODAPATI,1,,,,Unknown Slot,,,"Elective for B.Tech. EE 2th Year, Sem-3, B. Tech. EE 3rd Year, sem-5",B. Tech (EE) and (VLSI) DC Courses
EE231,MEASUREMENT AND INSTRUMENTATION,DR. SRIKANTH SUGAVANAM,3,F,A17-1A,North Campus,"Monday 5:00–5:50pm, Tuesday 8:00–8:50am, Wednesday 10:00–10:50am, Friday 11:00–11:50am",2,SCEE,"B.Tech. EE 3rd Year, Sem-5",B. Tech (EE) DC Courses
EE260,SIGNALS AND SYSTEMS,DR. SIDDHARTH PANWAR,3,H,A17-2B,North Campus,"Tuesday 10:00–10:50am, Wednesday 12:00–12:50pm, Friday 9:00–9:50am",2,SCEE,"B.Tech. EE 2th Year, Sem-3","B. Tech (EE), (VLSI) DC Courses"
EE261,ELECTRICAL SYSTEMS AROUND US,DR. MOUMITA DAS,3,A,A17-2B,North Campus,"Monday 8:00–8:50am, Tuesday 11:00–11:50am, Thursday 9:00–9:50am, Friday 12:00–12:50pm",2,SCEE,"B.Tech. EE 2th Year, Sem-3",B. Tech (EE) DC Courses
EE261P,ELECTRICAL SYSTEMS AROUND US LAB,DR. DWIJASISH DAS,2,,,,Unknown Slot,,,"B.Tech. EE 2th Year, Sem-3",B. Tech (EE) DC Courses
